age,num_ooids,all_carbonate,carb_no_ooids,all_sediment,sed_no_ooids,all_dolomite,dol_no_ooids
354,21.0,41.0,25.0,119.0,102.0,6.0,4.0
355,21.0,39.0,23.0,120.0,104.0,5.0,3.0
356,20.0,37.0,22.0,119.0,103.0,5.0,3.0
357,22.0,38.0,22.0,127.0,108.0,6.0,3.0
358,21.0,42.0,27.0,135.0,118.0,10.0,6.0
359,11.0,27.0,22.0,105.0,98.0,8.0,5.0
360,10.0,29.0,25.0,112.0,106.0,9.0,6.0
361,10.0,30.0,26.0,103.0,96.0,11.0,8.0
362,10.0,38.0,34.0,115.0,108.0,18.0,15.0
363,10.0,45.0,39.0,121.0,113.0,19.0,16.0
364,9.0,41.0,35.0,111.0,104.0,17.0,14.0
365,10.0,45.0,39.0,123.0,115.0,18.0,15.0
366,9.0,44.0,39.0,125.0,118.0,17.0,15.0
367,9.0,44.0,39.0,120.0,113.0,16.0,14.0
368,9.0,41.0,36.0,118.0,111.0,15.0,13.0
369,9.0,38.0,34.0,115.0,109.0,13.0,11.0
370,10.0,41.0,37.0,122.0,115.0,14.0,12.0
371,10.0,41.0,37.0,119.0,112.0,14.0,12.0
372,12.0,57.0,52.0,147.0,138.0,19.0,16.0
373,13.0,52.0,46.0,142.0,131.0,18.0,14.0
374,11.0,44.0,40.0,132.0,123.0,13.0,10.0
375,11.0,50.0,46.0,131.0,122.0,18.0,15.0
376,11.0,47.0,43.0,128.0,119.0,18.0,15.0
377,10.0,42.0,39.0,130.0,122.0,15.0,13.0
378,10.0,46.0,42.0,128.0,120.0,19.0,16.0
379,12.0,61.0,55.0,170.0,159.0,26.0,23.0
380,13.0,70.0,63.0,159.0,148.0,28.0,25.0
381,15.0,65.0,57.0,155.0,144.0,26.0,22.0
382,16.0,64.0,57.0,144.0,132.0,23.0,20.0
383,14.0,68.0,62.0,142.0,131.0,23.0,21.0
384,13.0,59.0,54.0,124.0,112.0,23.0,21.0
385,12.0,56.0,52.0,119.0,110.0,21.0,20.0
386,15.0,72.0,63.0,144.0,131.0,27.0,24.0
387,16.0,70.0,61.0,136.0,123.0,27.0,23.0
388,16.0,72.0,64.0,134.0,120.0,29.0,25.0
389,16.0,83.0,74.0,150.0,134.0,31.0,26.0
390,14.0,69.0,60.0,116.0,101.0,25.0,20.0
391,13.0,85.0,77.0,144.0,130.0,32.0,28.0
392,12.0,79.0,72.0,133.0,120.0,30.0,26.0
393,13.0,76.0,68.0,138.0,124.0,31.0,26.0
394,12.0,64.0,57.0,120.0,107.0,28.0,24.0
395,12.0,65.0,58.0,125.0,112.0,29.0,25.0
396,12.0,70.0,63.0,134.0,122.0,31.0,27.0
397,11.0,57.0,50.0,107.0,96.0,25.0,21.0
398,11.0,57.0,50.0,107.0,96.0,25.0,21.0
399,11.0,57.0,50.0,103.0,92.0,25.0,21.0
400,11.0,56.0,49.0,102.0,91.0,24.0,20.0
401,11.0,56.0,49.0,103.0,92.0,24.0,20.0
402,11.0,56.0,49.0,104.0,93.0,24.0,20.0
403,11.0,54.0,47.0,101.0,90.0,23.0,19.0
404,12.0,59.0,51.0,116.0,104.0,26.0,22.0
405,12.0,53.0,45.0,103.0,91.0,25.0,21.0
406,12.0,52.0,44.0,101.0,89.0,24.0,20.0
407,14.0,62.0,53.0,124.0,110.0,25.0,21.0
408,15.0,66.0,56.0,132.0,118.0,26.0,21.0
409,15.0,55.0,45.0,110.0,97.0,21.0,16.0
410,16.0,71.0,60.0,140.0,124.0,26.0,20.0
411,16.0,62.0,51.0,118.0,103.0,25.0,19.0
412,17.0,72.0,60.0,133.0,117.0,27.0,20.0
413,16.0,67.0,56.0,125.0,111.0,26.0,20.0
414,16.0,65.0,54.0,120.0,106.0,26.0,20.0
415,16.0,65.0,54.0,120.0,106.0,26.0,20.0
416,15.0,65.0,54.0,121.0,108.0,25.0,19.0
417,16.0,65.0,53.0,133.0,119.0,27.0,20.0
418,15.0,55.0,44.0,118.0,104.0,25.0,18.0
419,17.0,75.0,61.0,151.0,133.0,37.0,28.0
420,14.0,69.0,57.0,141.0,125.0,37.0,29.0
421,13.0,60.0,49.0,122.0,107.0,34.0,27.0
422,14.0,66.0,55.0,141.0,125.0,37.0,30.0
423,17.0,72.0,61.0,152.0,134.0,41.0,33.0
424,19.0,80.0,68.0,158.0,138.0,48.0,38.0
425,18.0,60.0,50.0,132.0,113.0,37.0,28.0
426,20.0,72.0,61.0,149.0,129.0,44.0,35.0
427,21.0,82.0,70.0,160.0,140.0,54.0,44.0
428,19.0,91.0,80.0,176.0,157.0,59.0,51.0
429,19.0,77.0,68.0,156.0,136.0,50.0,44.0
430,18.0,72.0,64.0,148.0,130.0,45.0,40.0
431,18.0,80.0,71.0,166.0,147.0,48.0,42.0
432,15.0,76.0,67.0,154.0,138.0,45.0,39.0
